"愛(あい)","ความรัก, ความเสน่หา"
"挨拶(あいさつ)","การทักทาย, คำกล่าวทักทาย"
"愛情(あいじょう)","ความรัก, ความเอ็นดู"
"アイスクリーム","ไอศกรีม"
"愛する(あいする)","รัก"
"合図(あいず)","สัญญาณ, สัญลักษณ์"
"相手(あいて)","คู่หู, คู่สนทนา; คู่ต่อสู้"
"生憎(あいにく)","น่าเสียดาย, โชคไม่ดีที่"
"アイロン","เตารีด"
"ＯＵＴ(アウト)","เอาต์, ไม่ผ่าน"
"明かり(あかり)","แสงไฟ, ความสว่าง"
"空き(あき)","ช่องว่าง, ที่ว่าง"
"明らか(あきらか)","ชัดเจน, แจ่มแจ้ง"
"飽きる(あきる)","เบื่อ, เบื่อหน่าย"
"諦める(あきらめる)","ยอมแพ้, ทอดอาลัย"
"握手(あくしゅ)","การจับมือ"
"悪魔(あくま)","ปีศาจ, ซาตาน"
"開ける(あける)","เปิด"
"明後日(あさって)","มะรืน"
"明日(あした)","พรุ่งนี้"
"預ける(あずける)","ฝาก, มอบหมาย"
"汗(あせ)","เหงื่อ"
"与える(あたえる)","ให้, มอบ"
"暖かい(あたたかい)","อบอุ่น"
"辺り(あたり)","บริเวณ, ใกล้เคียง"
"当たる(あたる)","ถูก, โดน; ประสบผลสำเร็จ"
"彼方此方(あちこち)","ที่นั่นที่นี่, ทั่วทุกที่"
"あっ","อ้า, โอ้"
"扱う(あつかう)","จัดการ, ปฏิบัติ"
"集まり(あつまり)","การชุมนุม, การรวมตัว"
"当てる(あてる)","ทาย, โดน, ใส่"
"跡(あと)","ร่องรอย, รอย; ซาก"
"穴(あな)","รู, ช่อง"
"浴びる(あびる)","อาบน้ำ, สาดน้ำ; รับ (คำวิจารณ์)"
"油(あぶら)","น้ำมัน"
"余り(あまり)","ส่วนที่เหลือ; ไม่ค่อย; มากเกินไป"
"誤り(あやまり)","ความผิดพลาด, ข้อผิดพลาด"
"粗(あら)","ข้อบกพร่อง, จุดอ่อน"
"嵐(あらし)","พายุ"
"新た(あらた)","ใหม่, สดใหม่"
"凡ゆる(あらゆる)","ทุกอย่าง, ทั้งหมด"
"表す(あらわす)","แสดง, สื่อถึง"
"現れ(あらわれ)","การปรากฏ, การแสดงออก"
"現れる(あらわれる)","ปรากฏ, โผล่ออกมา"
"有難う(ありがとう)","ขอบคุณ"
"有る(ある)","มี, อยู่"
"或る(ある)","บาง..., สักคน..."
"或いは(あるいは)","หรือ, บางที"
"アルバム","อัลบั้ม"
"泡(あわ)","ฟอง, ฟองน้ำ"
"合わせる(あわせる)","รวมกัน, จับคู่, ปรับให้พอดี"
"哀れ(あわれ)","ความน่าสงสาร, ความโศกเศร้า"
"案(あん)","ความคิด, แผน, ข้อเสนอ"
"暗記(あんき)","การท่องจำ"
"安定(あんてい)","ความมั่นคง, ความสมดุล"
"案内(あんない)","การนำทาง, ข้อมูล"
"あんなに","มากขนาดนั้น, ถึงขนาดนั้น"
"胃(い)","กระเพาะ"
"いい","ดี, ใช้ได้"
"いいえ","ไม่, ไม่ใช่"
"委員(いいん)","กรรมการ, สมาชิกคณะกรรมการ"
"言う(いう)","พูด, บอก"
"意外(いがい)","ไม่คาดคิด, น่าแปลกใจ"
"息(いき)","ลมหายใจ, การหายใจ"
"行き(いき)","ทางไป, ขาไป"
"勢い(いきおい)","แรง, พลัง, แรงผลักดัน"
"生き物(いきもの)","สิ่งมีชีวิต"
"幾つ(いくつ)","กี่อัน; อายุเท่าไหร่"
"幾ら(いくら)","เท่าไหร่"
"行けない(いけない)","ห้าม, ไม่ควร; ไม่ดี"
"意思(いし)","ความตั้งใจ, ความประสงค์"
"医師(いし)","แพทย์, หมอ"
"意志(いし)","เจตนา, ความตั้งใจแน่วแน่"
"意識(いしき)","สติ, ความตระหนัก"
"維持(いじ)","การรักษา, การดำรงไว้"
