"","ああ","like that, so"
"挨拶","あいさつ","greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from someone; speech (congratulatory or appreciative), address; reply, response; courtesy visit (to offer condolences, say congratulations, pay respect, introduce oneself, etc.); revenge, retaliation; a fine thing to say; dialoging (with another Zen practitioner to ascertain their level of enlightenment); relationship (between people), connection; intervention, mediation, mediator"
"間","あいだ, あわい","space (between), gap, interval, distance, stretch; period of time (during, while), duration, interval; between (two parties or things); among (a group); relations (between), relationship; midpoint, average, halfway, middle ground; due to, because of"
"合う","あう, おう","to come together, to merge, to unite, to meet; to fit, to match, to suit, to agree with, to be correct; to be profitable, to be equitable; to do ... to each other, to do ... together"
"赤ちゃん","あかちゃん","baby, infant"
"赤ん坊","あかんぼう, あかんぼ","baby, infant"
"上がる","あがる, アガる","to rise, to go up, to come up, to ascend, to be raised; to enter (esp. from outdoors), to come in, to go in; to enter (a school), to advance to the next grade; to get out (of water), to come ashore, to be washed ashore; to float atop the water, to surface from the sea (e.g. of a corpse), to rise to the surface; to increase, to be raised (e.g. of a salary), to rise; to improve, to make progress; to be promoted, to advance; to be made (of profit, etc.); to occur (esp. of a favourable result); to be adequate (to cover expenses, etc.); to be finished, to be done, to be over; to stop (of rain), to clear up (of weather); to stop (working properly), to cut out, to give out, to die; to win (in a card game, etc.); to be spoken loudly, to be raised loudly (of a voice); to get nervous, to get stage fright; to be offered (to the gods, etc.); to go, to visit; to eat, to drink; to serve (in one's master's home); to enter a red light district, to amuse oneself in a red light district, to visit a brothel; to arise vigorously (e.g. of voices in excitement), to become excited, to be in uproar (e.g. of a crowd); to be complete, to finish; adds the connotation of an action happening strongly or violently; above, north of"
"開く","あく","to open (e.g. doors); to open (e.g. business, etc.); to be empty; to be vacant, to be available, to be free; to be open (e.g. neckline, etc.); to have been opened (of one's eyes, mouth, etc.); to come to an end; to open (one's eyes, mouth, etc.); to have a hole, to form a gap, to have an interval (between events)"
"","アクセサリー, アクセサリ","accessory (fashion), jewelry; accessory (audio, car, camera, etc.)"
"揚げる","あげる","to deep-fry, to make deep-fried food; to launch (fireworks, etc.), to hoist (e.g. a flag), to (let) fly (e.g. a kite), to set off; to summon (for geishas, etc.), to call in; to land (e.g. a boat), to come ashore, to move (something) onto land; to suck up (water; e.g. a plant), to absorb, to draw up"
"浅い","あさい","shallow, superficial; slight (wound), light (sleep), pale (colour), inadequate (knowledge); short (time), early, young"
"明日","あした, あす, みょうにち","tomorrow; near future"
"亜細亜","アジア","Asia"
"味","あじ","flavor, flavour, taste; charm, appeal, uniqueness, attractiveness; experience, taste (e.g. of victory); smart, clever, witty, strange"
"遊び","あそび","play, playing, game; pleasure, amusement, pastime, recreation, diversion; play (in a mechanism, e.g. a steering wheel); flexibility (in a performance, art, etc.), freedom; flyleaf"
"","あっ, アッ, アっ, あ, ア","ah, oh; hey!"
"集まる","あつまる","to gather, to collect, to assemble"
"集める","あつめる","to collect, to assemble, to gather"
"","アナウンサー, アナウンサ","announcer, presenter, broadcaster, reporter; in-house television talent who does on-location fluff pieces for variety shows"
"阿弗利加","アフリカ","Africa"
"亜米利加","アメリカ","(United States of) America, United States, US, USA; America (land mass), the Americas"
"謝る","あやまる","to apologize, to apologise; to refuse, to decline; to be unable to bear, to be defeated (by), to be at a loss"
"","アルコール, アルコホル","alcohol; alcoholic drink, alcohol; (alcohol-based) hand sanitizer"
"","アルバイト","part-time job, side job; part-time worker"
"安心","あんしん","peace of mind, relief, (sense of) security, safety, assurance, confidence"
"安全","あんぜん, あんせん","safety, security"
"","あんな","that sort of, that kind of, like that, such, so"
