"ああ","อย่างนั้น, เช่นนั้น"
"挨拶(あいさつ)","การทักทาย, การกล่าวทักทาย"
"間(あいだ)","ระหว่าง, ช่วงเวลา"
"合う(あう)","เข้ากัน, พอดี, ตรงกัน"
"赤ちゃん(あかちゃん)","ทารก, เด็กทารก"
"赤ん坊(あかんぼう)","ทารก, เด็กทารก"
"上がる(あがる)","ขึ้น, ยกขึ้น, เข้าไป"
"開く(あく)","เปิด (เอง), ว่าง, เปิดให้บริการ"
"アクセサリー","เครื่องประดับ"
"揚げる(あげる)","ทอด (น้ำมัน), ยกขึ้น"
"浅い(あさい)","ตื้น, ไม่ลึก, อ่อน (สี)"
"明日(あした)","พรุ่งนี้"
"アジア","เอเชีย"
"味(あじ)","รส, รสชาติ, เสน่ห์"
"遊び(あそび)","การเล่น, ความสนุกสนาน, งานอดิเรก"
"あっ","อ้า, โอ้"
"集まる(あつまる)","รวมตัวกัน, ชุมนุม"
"集める(あつめる)","รวบรวม, สะสม"
"アナウンサー","ผู้ประกาศ"
"アフリカ","แอฟริกา"
"アメリカ","อเมริกา"
"謝る(あやまる)","ขอโทษ, ปฏิเสธ"
"アルコール","แอลกอฮอล์, เครื่องดื่มแอลกอฮอล์"
"アルバイト","งานพาร์ทไทม์, งานนอกเวลา"
"安心(あんしん)","ใจสบาย, โล่งใจ"
"安全(あんぜん)","ความปลอดภัย"
"あんな","แบบนั้น, ประเภทนั้น"
"案内(あんない)","การนำทาง, ข้อมูล, การแนะนำ"
"以下(いか)","ไม่เกิน, ดังต่อไปนี้"
"以外(いがい)","ยกเว้น, นอกจาก"
"医学(いがく)","วิทยาศาสตร์การแพทย์, การแพทย์"
"生きる(いきる)","มีชีวิต, ดำรงชีวิต"
"意見(いけん)","ความคิดเห็น"
"石(いし)","หิน"
"苛める(いじめる)","รังแก, กลั่นแกล้ง"
"以上(いじょう)","มากกว่า, ข้างต้น, เท่านี้"
"急ぐ(いそぐ)","รีบ, รีบเร่ง"
"致す(いたす)","ทำ (ภาษาถ่อมตน)"
"頂く(いただく)","รับ, ทาน, ดื่ม (ถ่อมตน)"
"一度(いちど)","ครั้งหนึ่ง, หนึ่งครั้ง"
"一生懸命(いっしょうけんめい)","อย่างสุดความสามารถ, เต็มที่"
"一杯(いっぱい)","หนึ่งแก้ว, เต็ม, มากมาย"
"糸(いと)","ด้าย, เส้นด้าย"
"以内(いない)","ภายใน, ไม่เกิน"
"田舎(いなか)","ชนบท, บ้านนอก"
"祈る(いのる)","อธิษฐาน, ภาวนา"
"居らっしゃる(いらっしゃる)","มา, ไป, อยู่ (ภาษาสุภาพมาก)"
"植える(うえる)","ปลูก (พืช)"
"伺う(うかがう)","ไปเยี่ยม, ถาม (ถ่อมตน)"
"受付(うけつけ)","เคาน์เตอร์ต้อนรับ"
"受ける(うける)","รับ, สอบ, ได้รับ"
"動く(うごく)","เคลื่อนที่, เคลื่อนไหว, ทำงาน"
"嘘(うそ)","โกหก, คำเท็จ"
"内(うち)","ข้างใน, บ้าน, ในหมู่"
"打つ(うつ)","ตี, พิมพ์, ฉีด"
"美しい(うつくしい)","สวยงาม, งดงาม"
"写す(うつす)","คัดลอก, ถ่ายรูป"
"移る(うつる)","ย้าย, เปลี่ยน, ติดต่อ (โรค)"
"腕(うで)","แขน, ความสามารถ"
"上手い(うまい)","เก่ง, อร่อย"
"裏(うら)","ด้านหลัง, ด้านใน, เบื้องหลัง"
"売り場(うりば)","แผนกขาย, เคาน์เตอร์ขาย"
"嬉しい(うれしい)","ดีใจ, มีความสุข"
"うん","ใช่, อ้า"
