"会う","あう","to meet, to encounter, to see; to have an accident, to have a bad experience"
"青","あお","blue, azure; green; green light (traffic); black (horse coat color); blue 5-point card; immature, unripe, young"
"青い","あおい","blue, azure; green; pale (facial color), gray, grey; unripe, inexperienced"
"赤","あか","red, crimson, scarlet; red-containing colour (e.g. brown, pink, orange); Red (i.e. communist); red light (traffic); red ink (i.e. in finance or proof-reading), (in) the red; complete, total, perfect, obvious; copper; red 5-point card"
"赤い","あかい","red, crimson, scarlet, vermilion; Red, communist"
"明るい","あかるい","light, bright, well-lit, well-lighted; bright (colour); cheerful, bright, spirited, sunny (e.g. disposition); bright (future, prospects, etc.), rosy, encouraging, promising; knowledgeable (about), familiar (with), well versed (in), well acquainted (with); fair (e.g. politics), clean, impartial"
"秋","あき","autumn, fall"
"開く","あく","to open (e.g. doors); to open (e.g. business, etc.); to be empty; to be vacant, to be available, to be free; to be open (e.g. neckline, etc.); to have been opened (of one's eyes, mouth, etc.); to come to an end; to open (one's eyes, mouth, etc.); to have a hole, to form a gap, to have an interval (between events)"
"開ける","あける","to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock; to open (for business, etc.); to empty, to remove, to make space, to make room; to move out, to clear out; to be away from (e.g. one's house), to leave (temporarily); to dawn, to grow light; to end (of a period, season); to begin (of the New Year); to leave (one's schedule) open, to make time (for); to make (a hole), to open up (a hole)"
"上げる","あげる, アゲる","to raise, to elevate; to move something (to a higher place), to put onto (e.g. a shelf); to increase (price, quality, status, etc.), to raise (a wage); to show someone (into a room), to let in (e.g. a guest); to give; to enrol (one's child in school), to enroll, to send (one's child; e.g. to college); to develop (talent, skill, etc.), to improve; to earn (something desirable), to achieve (e.g. a good result), to obtain; to promote (someone); to complete, to finish; to make (a loud sound), to raise (one's voice); to raise (one's gaze), to lift up (one's face), to look up; to do up (one's hair); to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to praise, to commend, to flatter; to make do (with less expenses than expected), to cover expenses (with a given amount), to set costs; to finish (one's studies), to complete (a lesson), to pass (e.g. a class); to upload (e.g. an image), to publish (on the internet), to post; to raise someone's spirits, to cheer someone up, to enhance a mood; (of the tide) to come in, to rise; to increase (of market price), to rise (of stock prices); to vomit, to throw up; to do for (the sake of someone else); to complete ...; to humbly do ..."
"朝","あさ","morning; breakfast"
