"会う(あう)","พบ, เจอ"
"青(あお)","สีน้ำเงิน, สีเขียว"
"青い(あおい)","สีน้ำเงิน"
"赤(あか)","สีแดง"
"赤い(あかい)","สีแดง"
"明るい(あかるい)","สว่าง, ร่าเริง"
"秋(あき)","ฤดูใบไม้ร่วง"
"開く(あく)","เปิด"
"開ける(あける)","เปิด (ทำให้เปิด)"
"上げる(あげる)","ยกขึ้น, ให้"
"朝(あさ)","เช้า"
"朝ご飯(あさごはん)","อาหารเช้า"
"明後日(あさって)","มะรืนนี้"
"足(あし)","เท้า, ขา"
"明日(あした)","พรุ่งนี้"
"彼処(あそこ)","ที่นั่น, ตรงนั้น"
"遊ぶ(あそぶ)","เล่น"
"暖かい(あたたかい)","อบอุ่น"
"頭(あたま)","หัว, สมอง"
"新しい(あたらしい)","ใหม่"
"彼方(あちら)","ทางนั้น, ที่นั่น"
"厚い(あつい)","หนา"
"熱い(あつい)","ร้อน (สัมผัส)"
"暑い(あつい)","ร้อน (อากาศ)"
"後(あと)","หลังจาก, ข้างหลัง"
"貴方(あなた)","คุณ"
"兄(あに)","พี่ชาย"
"姉(あね)","พี่สาว"
"あの","อ้า, เอ้อ... (คำลังเล)"
"彼の(あの)","นั้น, โน้น"
"アパート","อพาร์ตเมนต์"
"浴びる(あびる)","อาบน้ำ, โดนราด"
"危ない(あぶない)","อันตราย"
"甘い(あまい)","หวาน, ใจดีเกินไป"
"余り(あまり)","ไม่ค่อย..., มากเกินไป"
"飴(あめ)","ลูกอม"
"雨(あめ)","ฝน"
"洗う(あらう)","ล้าง"
"有る(ある)","มี, อยู่ (สิ่งไม่มีชีวิต)"
"歩く(あるく)","เดิน"
"彼(あれ)","นั่น, สิ่งนั้น"
"いい","ดี"
"いいえ","ไม่, ไม่เป็นไร"
"言う(いう)","พูด, บอก"
"家(いえ)","บ้าน"
"如何(いかが)","เป็นอย่างไร"
"行く(いく)","ไป"
"幾つ(いくつ)","กี่อัน, อายุเท่าไหร่"
"幾ら(いくら)","เท่าไหร่"
"池(いけ)","สระน้ำ"
"医者(いしゃ)","หมอ, แพทย์"
"椅子(いす)","เก้าอี้"
"忙しい(いそがしい)","ยุ่ง, มีงานมาก"
"痛い(いたい)","เจ็บ, ปวด"
"一(いち)","หนึ่ง, 1"
"一日(いちにち)","หนึ่งวัน, ทั้งวัน"
"一番(いちばん)","ที่หนึ่ง, ดีที่สุด"
"一緒(いっしょ)","ด้วยกัน, พร้อมกัน"
"何時(いつ)","เมื่อไหร่"
"５日(いつか)","วันที่ 5, ห้าวัน"
"五つ(いつつ)","ห้า"
"何時も(いつも)","เสมอ, ตลอดเวลา"
"犬(いぬ)","สุนัข, หมา"
"今(いま)","ตอนนี้, เดี๋ยวนี้"
"意味(いみ)","ความหมาย"
"妹(いもうと)","น้องสาว"
"嫌(いや)","ไม่ชอบ, ไม่อยากทำ"
"入り口(いりぐち)","ทางเข้า"
"居る(いる)","อยู่ (สิ่งมีชีวิต)"
"要る(いる)","ต้องการ, จำเป็น"
"入れる(いれる)","ใส่, นำเข้า"
"色(いろ)","สี"
"色々(いろいろ)","หลากหลาย, ต่างๆ"
"上(うえ)","ข้างบน"
"後ろ(うしろ)","ข้างหลัง"
"薄い(うすい)","บาง, จาง"
"歌(うた)","เพลง"
"歌う(うたう)","ร้องเพลง"
"生まれる(うまれる)","เกิด"
"海(うみ)","ทะเล"
"売る(うる)","ขาย"
"煩い(うるさい)","ดัง, น่ารำคาญ"
"上着(うわぎ)","เสื้อชั้นนอก, แจ็กเก็ต"
"絵(え)","ภาพวาด, รูป"
"映画(えいが)","ภาพยนตร์, หนัง"
"映画館(えいがかん)","โรงภาพยนตร์"
"英語(えいご)","ภาษาอังกฤษ"
"ええ","ใช่, อืม"
"駅(えき)","สถานีรถไฟ"
"エレベーター","ลิฟต์"
"鉛筆(えんぴつ)","ดินสอ"
"美味しい(おいしい)","อร่อย"
"多い(おおい)","มาก"
"大きい(おおきい)","ใหญ่"
"大きな(おおきな)","ใหญ่"
"大勢(おおぜい)","คนจำนวนมาก"
"お母さん(おかあさん)","คุณแม่"
"お菓子(おかし)","ขนม"
"お金(おかね)","เงิน"
"起きる(おきる)","ตื่นนอน, เกิดขึ้น"
"置く(おく)","วาง"
"奥さん(おくさん)","ภรรยา (ของผู้อื่น)"
"お酒(おさけ)","เครื่องดื่มแอลกอฮอล์, สาเก"
"お皿(おさら)","จาน"
"教える(おしえる)","สอน, บอก"
"叔父(おじ)","ลุง, น้า (ผู้ชาย)"
"押す(おす)","กด, ดัน"
"遅い(おそい)","ช้า, สาย"
"お茶(おちゃ)","ชา"
"お手洗い(おてあらい)","ห้องน้ำ"
"お父さん(おとうさん)","คุณพ่อ"
"弟(おとうと)","น้องชาย"
"男(おとこ)","ผู้ชาย"
"男の子(おとこのこ)","เด็กผู้ชาย"
"一昨日(おととい)","เมื่อวานซืน"
"一昨年(おととし)","ปีก่อนปีที่แล้ว"
"大人(おとな)","ผู้ใหญ่"
"お腹(おなか)","ท้อง"
"同じ(おなじ)","เหมือนกัน, เดียวกัน"
"お兄さん(おにいさん)","พี่ชาย (ของผู้อื่น)"
"お姉さん(おねえさん)","พี่สาว (ของผู้อื่น)"
"お祖母さん(おばあさん)","คุณย่า/ยาย"
"伯母さん(おばさん)","ป้า, น้า (ผู้หญิง)"
"お風呂(おふろ)","การอาบน้ำ, ห้องอาบน้ำ"
"お弁当(おべんとう)","ข้าวกล่อง"
"覚える(おぼえる)","จำ, จดจำ"
"お巡りさん(おまわりさん)","ตำรวจ"
"重い(おもい)","หนัก"
"面白い(おもしろい)","สนุก, น่าสนใจ, ตลก"
"泳ぐ(およぐ)","ว่ายน้ำ"
"降りる(おりる)","ลงจาก, ลงรถ"
"終わる(おわる)","จบ, เสร็จ"
"音楽(おんがく)","ดนตรี"
"女(おんな)","ผู้หญิง"
"女の子(おんなのこ)","เด็กผู้หญิง"
"会社(かいしゃ)","บริษัท"
"階段(かいだん)","บันได"
"買い物(かいもの)","การช้อปปิ้ง, การซื้อของ"
"買う(かう)","ซื้อ"
"返す(かえす)","คืน, ส่งคืน"
"帰る(かえる)","กลับบ้าน"
"掛かる(かかる)","ใช้ (เวลา/เงิน), แขวน"
"鍵(かぎ)","กุญแจ"
"書く(かく)","เขียน"
"掛ける(かける)","แขวน, โทร (โทรศัพท์), ราด"
"傘(かさ)","ร่ม"
"貸す(かす)","ให้ยืม"
"風邪(かぜ)","ไข้หวัด"
"風(かぜ)","ลม"
"家族(かぞく)","ครอบครัว"
"方(かた)","ทิศทาง, คน (สุภาพ), วิธี"
"カップ","ถ้วย"
"家庭(かてい)","ครัวเรือน, บ้าน"
"角(かど)","มุม"
"鞄(かばん)","กระเป๋า"
"花瓶(かびん)","แจกัน"
"紙(かみ)","กระดาษ"
"カメラ","กล้องถ่ายรูป"
"火曜日(かようび)","วันอังคาร"
"辛い(からい)","เผ็ด, เค็ม"
"体(からだ)","ร่างกาย"
"借りる(かりる)","ยืม, เช่า"
"軽い(かるい)","เบา"
"カレンダー","ปฏิทิน"
"カレー","แกงกะหรี่"
"川(かわ)","แม่น้ำ"
"可愛い(かわいい)","น่ารัก"
"漢字(かんじ)","ตัวอักษรคันจิ"
"外国(がいこく)","ต่างประเทศ"
"外国人(がいこくじん)","ชาวต่างชาติ"
"学生(がくせい)","นักศึกษา"
"学校(がっこう)","โรงเรียน"
"木(き)","ต้นไม้, ไม้"
"黄色(きいろ)","สีเหลือง"
"黄色い(きいろい)","สีเหลือง"
"消える(きえる)","หายไป, ดับ"
"聞く(きく)","ฟัง, ถาม"
"北(きた)","ทิศเหนือ"
"汚い(きたない)","สกปรก"
"喫茶店(きっさてん)","ร้านกาแฟ, ร้านชา"
"切手(きって)","แสตมป์"
"切符(きっぷ)","ตั๋ว"
"昨日(きのう)","เมื่อวาน"
"九(きゅう)","เก้า, 9"
"今日(きょう)","วันนี้"
"教室(きょうしつ)","ห้องเรียน"
"兄弟(きょうだい)","พี่น้อง"
"去年(きょねん)","ปีที่แล้ว"
"嫌い(きらい)","เกลียด, ไม่ชอบ"
"着る(きる)","สวมใส่ (เสื้อผ้า)"
"切る(きる)","ตัด"
"綺麗(きれい)","สวย, สะอาด"
"キロ","กิโล"
"金曜日(きんようび)","วันศุกร์"
"ギター","กีตาร์"
"牛肉(ぎゅうにく)","เนื้อวัว"
"牛乳(ぎゅうにゅう)","นมวัว"
"銀行(ぎんこう)","ธนาคาร"
"薬(くすり)","ยา"
"下さい(ください)","กรุณาให้, โปรด"
"果物(くだもの)","ผลไม้"
"口(くち)","ปาก"
"靴(くつ)","รองเท้า"
"靴下(くつした)","ถุงเท้า"
"国(くに)","ประเทศ, บ้านเกิด"
"曇り(くもり)","ท้องฟ้าครึ้ม"
"曇る(くもる)","ท้องฟ้าครึ้ม"
"暗い(くらい)","มืด, หดหู่"
"クラス","ชั้นเรียน"
"来る(くる)","มา"
"車(くるま)","รถยนต์"
"黒(くろ)","สีดำ"
"黒い(くろい)","สีดำ"
"グラム","กรัม"
"警官(けいかん)","ตำรวจ"
"今朝(けさ)","เช้าวันนี้"
"消す(けす)","ปิด (ไฟ), ลบ, ดับ"
"結構(けっこう)","ดีมาก, เพียงพอแล้ว"
"結婚(けっこん)","แต่งงาน"
"月曜日(げつようび)","วันจันทร์"
"玄関(げんかん)","ทางเข้าบ้าน"
"元気(げんき)","สบายดี, มีพลัง"
"公園(こうえん)","สวนสาธารณะ"
"交差点(こうさてん)","ทางแยก"
"紅茶(こうちゃ)","ชาดำ"
"交番(こうばん)","ป้อมตำรวจ"
"声(こえ)","เสียง (พูด)"
"此処(ここ)","ที่นี่"
"９日(ここのか)","วันที่ 9, เก้าวัน"
"九つ(ここのつ)","เก้า"
"答える(こたえる)","ตอบ"
"此方(こちら)","ทางนี้, ฉัน"
"コップ","แก้วน้ำ"
"今年(ことし)","ปีนี้"
"言葉(ことば)","ภาษา, คำพูด"
"子供(こども)","เด็ก"
"此の(この)","นี้"
"コピー","สำเนา, ถ่ายเอกสาร"
"困る(こまる)","ลำบาก, เป็นปัญหา"
"此れ(これ)","นี่, สิ่งนี้"
"今月(こんげつ)","เดือนนี้"
"今週(こんしゅう)","สัปดาห์นี้"
"こんな","แบบนี้, อย่างนี้"
"今晩(こんばん)","คืนนี้"
"コート","เสื้อโค้ต"
"コーヒー","กาแฟ"
"五(ご)","ห้า, 5"
"午後(ごご)","บ่าย, หลังเที่ยง"
"午前(ごぜん)","เช้า, ก่อนเที่ยง"
"ご飯(ごはん)","ข้าว, อาหาร"
"さあ","มา (เชิญ), ไม่แน่ใจนะ"
"財布(さいふ)","กระเป๋าเงิน"
"魚(さかな)","ปลา"
"先(さき)","ข้างหน้า, ก่อนหน้า"
"咲く(さく)","บาน (ดอกไม้)"
"作文(さくぶん)","การเขียนเรียงความ"
"差す(さす)","ส่องแสง, กาง (ร่ม)"
"砂糖(さとう)","น้ำตาล"
"寒い(さむい)","หนาว"
"再来年(さらいねん)","อีกสองปีข้างหน้า"
"三(さん)","สาม, 3"
"散歩(さんぽ)","เดินเล่น"
"雑誌(ざっし)","นิตยสาร"
"四(し)","สี่, 4"
"塩(しお)","เกลือ"
"然し(しかし)","แต่, อย่างไรก็ตาม"
"仕事(しごと)","งาน"
"静か(しずか)","เงียบ, สงบ"
"下(した)","ข้างล่าง, ใต้"
"七(しち)","เจ็ด, 7"
"質問(しつもん)","คำถาม"
"死ぬ(しぬ)","ตาย"
"閉まる(しまる)","ปิด (เอง)"
"閉める(しめる)","ปิด (ทำให้ปิด)"
"締める(しめる)","รัด, ผูก"
"写真(しゃしん)","รูปถ่าย"
"シャツ","เสื้อ"
"シャワー","ฝักบัว, อาบน้ำฝักบัว"
"宿題(しゅくだい)","การบ้าน"
"醤油(しょうゆ)","ซีอิ๊ว"
"食堂(しょくどう)","โรงอาหาร"
"知る(しる)","รู้จัก, รู้"
"白(しろ)","สีขาว"
"白い(しろい)","สีขาว"
"新聞(しんぶん)","หนังสือพิมพ์"
"時間(じかん)","เวลา, ชั่วโมง"
"辞書(じしょ)","พจนานุกรม"
"自転車(じてんしゃ)","จักรยาน"
"自動車(じどうしゃ)","รถยนต์"
"字引(じびき)","พจนานุกรม"
"自分(じぶん)","ตัวเอง"
"じゃあ","งั้น, ก็ดี"
"十(じゅう)","สิบ, 10"
"授業(じゅぎょう)","ชั้นเรียน, การสอน"
"上手(じょうず)","เก่ง, ชำนาญ"
"丈夫(じょうぶ)","แข็งแรง, ทนทาน"
"水曜日(すいようび)","วันพุธ"
"吸う(すう)","สูบ (บุหรี่), ดูด"
"スカート","กระโปรง"
"好き(すき)","ชอบ"
"少ない(すくない)","น้อย"
"直ぐに(すぐに)","ทันที"
"少し(すこし)","นิดหน่อย"
"涼しい(すずしい)","เย็นสบาย"
"ストーブ","เครื่องทำความร้อน"
"スプーン","ช้อน"
"スポーツ","กีฬา"
"住む(すむ)","อาศัยอยู่"
"スリッパ","รองเท้าแตะ (ในบ้าน)"
"為る(する)","ทำ"
"座る(すわる)","นั่ง"
"ズボン","กางเกง"
"背(せ)","หลัง, ความสูง"
"生徒(せいと)","นักเรียน"
"節倹(せっけん)","ประหยัด, มัธยัสถ์"
"背広(せびろ)","ชุดสูท"
"狭い(せまい)","แคบ"
"千(せん)","พัน, 1,000"
"先月(せんげつ)","เดือนที่แล้ว"
"先週(せんしゅう)","สัปดาห์ที่แล้ว"
"先生(せんせい)","ครู, อาจารย์"
"洗濯(せんたく)","ซักผ้า"
"セーター","เสื้อสเวตเตอร์"
"ゼロ","ศูนย์"
"全部(ぜんぶ)","ทั้งหมด"
"然うして(そうして)","แล้วก็, แบบนั้น"
"掃除(そうじ)","ทำความสะอาด"
"其処(そこ)","ที่นั่น (ใกล้ผู้ฟัง)"
"其方(そちら)","ทางนั้น, คุณ"
"外(そと)","ข้างนอก"
"其の(その)","นั้น"
"側(そば)","ข้างๆ, ใกล้ๆ"
"祖父(そふ)","ปู่, ตา"
"空(そら)","ท้องฟ้า"
"其れ(それ)","นั่น, สิ่งนั้น"
"其れから(それから)","แล้วก็, หลังจากนั้น"
"其れでは(それでは)","งั้นก็, ลาก่อน"
"大使館(たいしかん)","สถานทูต"
"大切(たいせつ)","สำคัญ, มีค่า"
"大変(たいへん)","ยากมาก, มาก, เป็นเรื่องใหญ่"
"高い(たかい)","สูง, แพง"
"沢山(たくさん)","มาก, เยอะ"
"タクシー","แท็กซี่"
"立つ(たつ)","ยืน, ลุกขึ้น"
"縦(たて)","แนวตั้ง"
"建物(たてもの)","อาคาร, ตึก"
"楽しい(たのしい)","สนุก, มีความสุข"
"頼む(たのむ)","ขอ, สั่ง"
"タバコ","บุหรี่"
"多分(たぶん)","คงจะ, อาจจะ"
"食べ物(たべもの)","อาหาร"
"食べる(たべる)","กิน"
"卵(たまご)","ไข่"
"誕生日(たんじょうび)","วันเกิด"
"大学(だいがく)","มหาวิทยาลัย"
"大丈夫(だいじょうぶ)","ไม่เป็นไร, โอเค"
"大好き(だいすき)","ชอบมาก, รักมาก"
"台所(だいどころ)","ครัว"
"出す(だす)","เอาออก, ส่ง, ยื่น"
"誰(だれ)","ใคร"
"誰か(だれか)","ใครบางคน"
"段々(だんだん)","ค่อยๆ, ทีละน้อย"
"小さい(ちいさい)","เล็ก, น้อย"
"小さな(ちいさな)","เล็ก"
"近い(ちかい)","ใกล้"
"近く(ちかく)","บริเวณใกล้เคียง"
"地下鉄(ちかてつ)","รถไฟใต้ดิน"
"違う(ちがう)","ต่างกัน, ผิด"
"地図(ちず)","แผนที่"
"茶色(ちゃいろ)","สีน้ำตาล"
"茶碗(ちゃわん)","ชามข้าว"
"丁度(ちょうど)","พอดี, ตรงๆ"
"一寸(ちょっと)","นิดหน่อย, รอสักครู่"
"１日(ついたち)","วันที่ 1"
"使う(つかう)","ใช้"
"疲れる(つかれる)","เหนื่อย, เมื่อย"
"次(つぎ)","ต่อไป, ถัดไป"
"着く(つく)","ถึง, มาถึง"
"机(つくえ)","โต๊ะ (เรียน)"
"作る(つくる)","ทำ, สร้าง"
"付ける(つける)","ติด, สวม, เปิด"
"勤める(つとめる)","ทำงาน (ที่บริษัท)"
"詰らない(つまらない)","น่าเบื่อ, ไม่น่าสนใจ"
"冷たい(つめたい)","เย็น (สัมผัส), เย็นชา"
"強い(つよい)","แข็งแรง, เก่ง"
"手(て)","มือ"
"手紙(てがみ)","จดหมาย"
"テスト","การสอบ"
"テレビ","โทรทัศน์, ทีวี"
"天気(てんき)","สภาพอากาศ"
"テーブル","โต๊ะ"
"テープ","เทป"
"テープレコーダー","เครื่องบันทึกเสียง"
"出かける(でかける)","ออกไปข้างนอก"
"出来る(できる)","ทำได้, สามารถ"
"出口(でぐち)","ทางออก"
"では","งั้น, ลาก่อน"
"デパート","ห้างสรรพสินค้า"
